HDI,GE,EPI,BH,PAR,TBP,%RE,CO2/Capita,Solar,Wind,cluster
0.10300000000000001,0.21,0.217,0.428,0.15,0.929,0.8809999999999999,0.003,0.669,0.013999999999999999,2
0.966,1.0,0.28300000000000003,0.36700000000000005,0.051,0.292,0.008,0.187,0.506,0.008,5
0.828,0.635,0.28300000000000003,0.40299999999999997,0.469,1.0,0.13699999999999998,0.174,0.18600000000000003,0.131,4
0.929,0.731,0.16699999999999998,0.466,0.5660000000000001,1.0,0.233,0.182,0.23800000000000002,0.213,4
0.307,0.24,0.8170000000000001,0.8959999999999999,0.062,0.016,0.537,0.008,0.483,0.051,3
0.56,0.562,1.0,0.598,0.247,0.452,0.115,0.213,0.8009999999999999,0.154,1
0.927,0.8009999999999999,0.733,0.522,0.162,0.882,0.035,0.33899999999999997,0.377,0.152,4
0.9059999999999999,0.7120000000000001,0.55,0.293,0.474,1.0,0.192,0.15,0.53,0.20199999999999999,4
0.6890000000000001,0.449,0.233,0.382,0.42200000000000004,0.982,0.569,0.028999999999999998,0.711,0.161,0
0.20600000000000002,0.09300000000000001,0.05,0.735,0.092,0.127,0.68,0.013000000000000001,0.9790000000000001,0.20800000000000002,3
0.611,0.336,0.38299999999999995,0.927,0.9940000000000001,0.8440000000000001,0.213,0.08199999999999999,0.736,0.017,0
0.9790000000000001,0.9079999999999999,0.083,0.8170000000000001,0.337,0.637,0.581,0.10800000000000001,0.040999999999999995,0.209,4
0.996,0.937,0.25,0.498,0.705,0.5329999999999999,0.268,0.113,0.214,0.324,4
0.48700000000000004,0.228,0.183,0.585,0.275,0.755,0.43700000000000006,0.016,0.512,0.258,0
0.24,0.268,0.133,0.516,0.682,0.9890000000000001,0.9259999999999999,0.005,0.809,0.08800000000000001,2
0.68,0.56,0.11699999999999999,0.419,0.221,0.591,0.263,0.111,0.62,0.073,5
0.377,0.267,0.25,0.409,0.242,0.946,0.204,0.011000000000000001,0.721,0.11,0
0.215,0.259,0.433,0.39899999999999997,0.354,0.9840000000000001,0.831,0.011000000000000001,0.695,0.036000000000000004,2
0.588,0.514,0.38299999999999995,0.606,0.051,0.583,0.019,0.034,0.5870000000000001,0.136,5
0.7140000000000001,0.499,0.467,0.493,0.934,0.988,0.005,0.8240000000000001,0.736,0.047,4
0.615,0.452,0.55,0.593,0.042,0.371,0.132,0.071,0.716,0.185,1
0.757,0.48700000000000004,0.38299999999999995,0.353,0.11,0.013999999999999999,0.131,0.13699999999999998,0.535,0.147,1
0.57,0.203,0.4,0.741,0.027999999999999997,0.22399999999999998,0.001,0.361,0.5660000000000001,0.18600000000000003,1
0.266,0.33799999999999997,0.35,0.514,0.37799999999999995,0.953,1.0,0.003,0.804,0.03,2
0.684,0.406,0.36700000000000005,0.331,0.177,0.26,0.076,0.134,0.212,0.11,1
0.8809999999999999,0.8009999999999999,0.35,0.9059999999999999,0.09,0.904,0.003,0.561,0.91,0.079,5
0.956,0.815,0.3,0.359,0.514,0.9790000000000001,0.122,0.147,0.016,0.364,4
0.945,0.8270000000000001,0.25,0.588,0.16,0.616,0.11199999999999999,0.43700000000000006,0.509,0.284,5
0.7509999999999999,0.64,0.4,0.483,0.067,0.201,0.672,0.053,0.584,0.133,1
0.579,0.354,0.3,0.72,0.018000000000000002,0.35,0.016,0.07400000000000001,0.512,0.177,1
0.382,0.34700000000000003,0.55,0.7979999999999999,0.107,0.24100000000000002,0.341,0.013000000000000001,0.457,0.125,1
0.563,0.084,0.36700000000000005,0.638,0.74,1.0,0.161,0.126,0.7290000000000001,0.094,0
0.551,0.485,0.25,0.46299999999999997,0.254,0.28,0.26,0.057999999999999996,0.444,0.131,1
0.337,0.316,0.25,0.718,0.695,1.0,0.9420000000000001,0.008,0.866,0.055,2
0.314,0.191,0.38299999999999995,0.586,0.5489999999999999,0.991,0.9009999999999999,0.021,0.84,0.065,2
